book_id,book_title,author,book_file
174,The Picture of Dorian Gray, Oscar Wilde,books\pg-174.txt
175,The Phantom of the Opera, Gaston Leroux,books\pg-175.txt
345,Dracula, Bram Stoker,books\pg-345.txt
